DCRAINTERNALNUMBER,ISSUE_DATE,PERMIT_ID,PERMIT_TYPE_NAME,PERMIT_SUBTYPE_NAME,PERMIT_CATEGORY_NAME,APPLICATION_STATUS_NAME,FULL_ADDRESS,DESC_OF_WORK,SSL,ZONING,PERMIT_APPLICANT,FEE_TYPE,FEES_PAID,OWNER_NAME,LASTMODIFIEDDATE,CITY,STATE,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
1196881,9/22/2011 12:00:00 AM,B96881,CONSTRUCTION,ADDITION ALTERATION REPAIR,NA,COMPLETED,1917 2ND ST NE,2-STORY RENOVATION & 1-STORY ADDITION WITH 3-STORY ADDITION TO REAR OF PROPERTY.,,,KIM MITCHELLE  CDKM CONSULTING (AFO),1200.00 (HIST),1200,"1917 2ND STREET NE, LLC",5/1/2012 5:20:45 AM,WASHINGTON,DC,38.91617052819790,-77.00316117065960,20002,54077,27283,27283,5,5C,5C05,FIFTH,502,21,NONE,NONE,NONE,NONE
1199289,7/20/2011 12:00:00 AM,B99289,CONSTRUCTION,ADDITION ALTERATION REPAIR,NA,PERMIT ISSUED,4811 MAC ARTHUR BLVD NW,"EXISTING FIRE STATION , TO BE TOTALLY GUTTED & PROVIDE ALL NEW MECH, ELC, PLBG, WITH NEW INTERIOR LAYOUTS & FINISHES AN ADDITION IN TWO SEPARATE AREAS TO BE ADDED",,,MARIA P  CORRALES (AFO),23384.24 (ALTREPAIR); 3900.00 (GREENBLDG); 2338.42 (AAREFEE); 2000.00 (HIST),31623,DC GOVT,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.915565348756,-77.093523635725,20007,284959,123457,123457,3,3D,3D06,SECOND,205,13,NONE,NONE,NONE,NONE
1199755,8/19/2009 12:00:00 AM,B99755,CONSTRUCTION,ALTERATION AND REPAIR,NA,COMPLETED,1005 S ST NW,CONVERT SFD TO A 2 FAMILY FLAT,,,JEAN C & DONALD  TAPSCOTT (AFO),32.00 (ADDALTREP); 33.00 (HIST),65,JEAN C & DONALD A TAPSCOTT,5/1/2012 5:20:37 AM,WASHINGTON,DC,38.91425991271450,-77.02631617081220,20001,239221,82527,82527,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
11102213,2/23/2009 12:00:00 AM,B102213,CONSTRUCTION,ADDITION ALTERATION REPAIR,NA,PERMIT ISSUED,1002 M ST NW,"RENOVATE ENTIRE BUILDING. ELECTRICAL, MECHANICAL, PLUMBING, STRUCTURAL.  PROVIDE 4 NEW APARTMENTS.",0341    0056,DD/R-5-E,MAURICIO  GUZMAN (AFO),520.00 (GREENBLDG); 7830.00 (ALTREPAIR); 200.00 (HIST),8550,MUHTESEM ATASOY/FAIK TUGBERK,5/1/2012 5:20:37 AM,WASHINGTON,DC,38.90544805738790,-77.02624720404250,20001,239350,82385,82385,2,2F,2F06,THIRD,307,8,NONE,NONE,NONE,NONE
11102754,10/8/2009 12:00:00 AM,B102754,CONSTRUCTION,ADDITION,NA,PERMIT ISSUED,519 16TH ST SE,"THIRD STORY ADDITION & INTERIOR RENOVATION MECH, ELEC, PLUMBING AS PER PLAN. THIRD STORY ADDITION SHALL PROVIDE A 20'-0" (MINIMUM) REAR YARD SETBACK",1076    0084,,LAWRENCE  CROSS (AFO),1035.00 (ALTREPAIR); 1035.00 (ALTREPAIR); 104.00 (GREENBLDG); 80.00 (HIST),1219,MR. ERIC BROWN,5/1/2012 5:20:40 AM,WASHINGTON,DC,38.88218935884860,-76.98244602276720,20003,12061,7412,7412,6,6B,6B09,FIRST,108,26,NONE,NONE,NONE,NONE
11104095,2/9/2011 12:00:00 AM,B104095,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,515 20TH ST NW,"CONSTRUCT NEW COURTYARD MARRIOT HOTELL ( 9 STORIES ) AS PER PLANS,INCLUDES ACCESSORY RESTAURANT, AND PROJECTIONS ,               ENTRANCE CANOPY AND ROOF EMBELLISHMENT )",,,ROBERT  SOCKWELL (AFO),2000.00 (FILINGFEE); 3770.04 (AAREFEE); 35700.40 (ALTREPAIR); 251.33 (GREENBLDG); 2000.00 (HIST),41722,"ALLSTATE HOTEL,LLC",5/1/2012 5:20:51 AM,WASHINGTON,DC,38.89649812485180,-77.04451969699670,20006,279821,122322,122322,2,2A,2A05,SECOND,207,5,NONE,NONE,NONE,NONE
11104831,5/14/2010 12:00:00 AM,B104831,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,520 FLORIDA AVE NE,"CONVERT EXIST, ONE STORY ,MASONRY BLDG( JIFFY LUBE ) INTO A DUNKIN DONUTS WITH / DRIVE THRU WINDOW",,,STEPHEN  TAYLOR (AFO),50.00 (FILINGFEE); 50.00 (HIST); 980.00 (ALTREPAIR); 980.00 (ALTREPAIR),1080,CENTRAL BAKING COMPANY,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90662874948510,-76.99865845481860,20002,277678,119751,119751,5,5B,5B06,FIFTH,506,23,NONE,NONE,NONE,NONE
11107884,5/25/2010 12:00:00 AM,B107884,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,3500 FORT LINCOLN DR NE,"CONSTRUCTION OF NEW REGIONAL POND FOR INCREASED STORM WATER MANAGEMENT INCLUDING RETAINING WALLS, FENCE, CLEARING AND GRADING, MAINTENANCE ROAD, MANHOLE, MINIMAL PIPING AND RIP-RAP.  RETAINING WALLS WILL VARY IN HEIGHT ALONG THEIR LENGTH.  THE CURRENT USE IS AS A STORM WATER MANAGEMENT FACILITY.  THE CONSTRUCTION WILL EXPAND THE SIZE.  THE CONSTRUCTION IS LOCATED IN THE EASTERN AVENUE RIGHT OF WAY AND AT THE ADDRESS, LOT & SQUARE SPECIFIED.",,,DAVID FONTANA  MCKEEVER SERVICES (AFO),49450.00 (REVISION); 32.50 (GREENBLDG); 380.00 (ALTREPAIR); 150.00 (HIST),50013,FORT LINCOLN NEW TOWN,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.92185772748480,-76.94915557828730,20018,289765,128689,128689,5,5A,5A12,FIFTH,503,24,NONE,NONE,NONE,NONE
11108518,2/4/2009 12:00:00 AM,B108518,CONSTRUCTION,NEW BUILDING,NA,REVIEW IN PROCESS,1104 ALLISON ST NW,"CONSTRUCT WHEELCHAIR LIFT, CONSTRUCT EXTERIOR CONCRETE STAIRS AND LANDING. EXPANDING EXISTING TOILET TO BE HANDICAPP ACCESSIBLE  WIDEN INTERIOR DOOR",,,TRACXY  STANNARD (AFO),83.80 (GREENBLDG); 83.80 (GREENBLDG); 1595.74 (ALTREPAIR); 1595.74 (ALTREPAIR); 64.46 (HIST),1744,GEORGIA AVE ROCK CREEK EAST FAM,5/1/2012 5:20:37 AM,WASHINGTON,DC,38.94488012372340,-77.02682246033040,20011,252621,95491,95491,4,4C,4C07,FOURTH,404,18,NONE,NONE,NONE,NONE
11108679,9/19/2008 12:00:00 AM,B108679,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,515 N ST NW,NEW SINGLE FAMILY,,,OLIVIA  ATKINSON (AFO),110.00 (HIST); 40.82 (GREENBLDG); 612.36 (ALTREPAIR),763,57TH STREET MUWS INC.,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.90740390266020,-77.01960169168640,20001,304859,421585,363213,6,2C,2C04,THIRD,308,7,NONE,NONE,NONE,NONE
