STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
O St,NW,Wisconsin Ave (S),37th St,6,Design,2004,65,Active Design,0.44,2,LOCAL,3/31/2006 12:00:00 AM,5/1/2010 12:00:00 AM,,"PROJECT IS RECONSTRUCTION TOGETHER WITH P ST, SCHEDULED FOR FY04  2 Year CIP 2001 - 2003  ",394137.1685,137769.494590,38.907765736689,-77.06759521693740,,O&P Streets Rehabilitation,M. Khalid,2733,A. Aghahi,,202-671-4600
P St,NW,Wisconsin Ave (N),37th St,5,Design,2004,65,Active Design,0.41,2,LOCAL,3/31/2006 12:00:00 AM,5/17/2010 12:00:00 AM,,"2 Year CIP 2001 - 2003  PROJECT IS RECONSTRUCTION TOGETHER WITH O ST NW & 36TH ST, FOR FY04 ",394113.858970,137878.456640,38.908747148371,-77.06786489680340,WASA FY-06 LSR,O&P Streets Rehabilitation,M. Khalid,2734,A. Aghahi,,202-671-4600
5th St,NW,E St,I St (S),4,Street Light Projects,2006,0,Active Design,0.33,6,COLLECTOR,,,,"Locations: 6th, NW, D to H- 7th, Indiana to K- 8th, D to I- 9th, K to K- 14th Kto Thomas Cir- D 6th ot 8th- E 6th to 9th- I 5th to 7th",398357.973470,136738.445180,38.89849569906370,-77.01892919944020,,Down Tow B.I.D.  Street scape & Streetlight Plans,Muhammed Khalid,10759,R. Rasson,,202-671-4600
9th St,SW,Frontage Rd,G St,3,Bridge Construction,2006,97,Under Construction,0.19,2,MINOR ARTERIAL,,12/30/2009 12:00:00 AM,,Goals:  Upgrade the bridge condition for 30 years service life  Evaluate the use of rapid deployment  Paint methodology for future DDOT use  Repair Ramp "M" bearings  Repaint Ramp "M" & "C" and 10th St Bridge over SW Frwy fascia girders,397918.1368,134919.872760,38.88211238759620,-77.02399410404410,Project Duration: 365 Calendar Days,Rehab of 9th St Bridge and Girder repair of 10th Bridge over SW FRWY,Mark Clabaugh,10769,D. Darbela,,202-671-0181
11th St,NW,L St (N),O St,3,Reconstruction,2005,92,Under Construction,0.30,2,MINOR ARTERIAL,8/15/2008 12:00:00 AM,12/15/2009 12:00:00 AM,,,397654.898330,137612.8919,38.90637143032350,-77.02703719956660,,"Reconstruction of 11 Street, NW, from L St. to O St.",Olusegun Olaore,10770,M. Conley,,202-671-0181
14th St,NW,Columbia Rd,Newton St (S),6,Reconstruction,2006,62,Under Construction,0.30,1,MINOR ARTERIAL,11/26/2009 12:00:00 AM,4/30/2009 12:00:00 AM,,"COLUMBIA HEIGHTS STREETSCAPE  Other location under this contract:  Park Rd, NW, 14th to Mt. Pleasant",397168.464960,140203.096350,38.92970340989690,-77.03265608053850,,Columbia Heights Streetscape Project,Olusegun Olaore,10771,D. Jamabo,,202-671-0181
12th St Expy,SW,"12th St (N), Independence ",Interstate 395,3,Bridge Construction,2005,78,Under Construction,0.59,2/6,OTHER FREEWAY AND EXPRESSWAY,,4/30/2010 12:00:00 AM,,,397663.595930,135069.256160,38.883457451309,-77.02692827238220,Project Duration:  400 Calendar Days,"Rehab. of 11th Bridge, SW, over D St. Rail rd & Approach roadways ",Mark clabaugh,10773,J. Sellers,,202-671-0181
L'enfant Promenade,SW,Independence Ave,Banneker Cir (N),1,Design,2007,15,Active Design,0.38,2,COLLECTOR,,6/23/2010 12:00:00 AM,,"Goals:  Upgrade top deck condition, repair roadway, sidewalks, curt & gutter, bridge joints and bearings.",397746.391320,135215.240060,38.88477274636080,-77.02597449122840,,L' Enfant Promenade CSXT RR and SW Freeway,M. Khalid,10774,k. Eskender,,202-671-4600
Interstate 695,BN,Interstate 395 (S),South Capitol St (S),1,Pavement Resurface/restoration,2009,98,Under Construction,0.49,6,INTERSTATE,,6/12/2009 12:00:00 AM,,"Limit:  Interstate 695- 395 (S) to South Capitol (S)  Interstate 695- 395 (N) to South Capitol (N)  I-395, 14th St (N) to 695(N)  I-395, 14th St (S) to 695 (S)",398833.938270,134947.521180,38.88236314670780,-77.01343926180040,,Resurfacing of South West Freeway I-395,"Olaore, Olusegun",10795,R. Mirchandani,,202-671-4600
Interstate 695,BN,Interstate 395 (N),South Capitol St (N),1,Pavement Resurface/restoration,2009,98,Under Construction,0.38,2/6,INTERSTATE,,6/5/2009 12:00:00 AM,,"Limit:  Interstate 695- 395 (S) to South Capitol (S)  Interstate 695- 395 (N) to South Capitol (N)  I-395, 14th St (N) to 695(N)  I-395, 14th St (S) to 695 (S)",398921.441280,134959.571360,38.88247181107620,-77.01243077849110,,Resurfacing of South West Freeway I-395,"Olaore, Olusegun",10796,R. Mirchandani,,
Interstate 395,BN,14th St (N),Interstate 695 (N),3,Pavement Resurface/restoration,2009,98,Under Construction,1.22,2/6,INTERSTATE,,6/5/2009 12:00:00 AM,,"Limit:  Interstate 695- 395 (S) to South Capitol (S)  Interstate 695- 395 (N) to South Capitol (N)  I-395, 14th St (N) to 695(N)  I-395, 14th St (S) to 695 (S)",397634.752920,134961.164670,38.88248364441940,-77.02726033103720,,Resurfacing of South West Freeway I-395,"Olaore, Olusegun",10797,R. Mirchandani,,202-671-4600
Interstate 395,BN,14th St (S),Interstate 695 (S),4,Pavement Resurface/restoration,2009,98,Under Construction,1.12,2/6,INTERSTATE,,6/5/2009 12:00:00 AM,,"Limit:  Interstate 695- 395 (S) to South Capitol (S)  Interstate 695- 395 (N) to South Capitol (N)  I-395, 14th St (N) to 695(N)  I-395, 14th St (S) to 695 (S)",397544.756640,134900.077790,38.88193310350520,-77.02829735252320,,Resurfacing of South West Freeway I-395,"Olaore, Olusegun",10798,R. Mirchandani,,202-671-4600
Thomas Jefferson St,NW,K St,M St,1,Bridge Construction,1992,15,Under Construction,0.18,2,LOCAL,3/30/2009 12:00:00 AM,6/26/2012 12:00:00 AM,,Thomas Jefferson St Bridge #4  30th St Bridge # 5  29th St Bridge # 6,394784.258680,137339.7351,38.90389839213960,-77.06013136221740,,Rehabilitation of Three Canal Bridges over C & O Canal,Mark Clabaugh,10818,D. D'Arbela,,202-671-0181
