NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
100008763,,12/18/2007 12:00:00 AM,MID,HOMICIDE,"KNIFE, CUTTING INSTR",4/30/2012 10:11:55 AM,1800 B/O IRVING ST NE,38.92904985841040,-76.978333160426,WASHINGTON,DC,5,5A,5A10,FIFTH,504,22,NONE,NONE,NONE,NONE
100009415,12052460,4/17/2012 12:00:00 AM,MID,HOMICIDE,GUN,4/30/2012 10:11:55 AM,3300 B/O 14TH PL SE,38.84345662718260,-76.98443594689960,WASHINGTON,DC,8,8E,8E02,SEVENTH,705,38,NONE,NONE,NONE,NONE
100009417,12054116,4/21/2012 12:00:00 AM,MID,HOMICIDE,"KNIFE, CUTTING INSTR",4/30/2012 10:12:00 AM,700 B/O 8TH ST SE,38.88027587534630,-76.99497653793590,WASHINGTON,DC,6,6B,6B03,FIRST,106,26,NONE,NONE,NONE,CAPITOL HILL BID
100009418,12055798,4/24/2012 12:00:00 AM,EVN,HOMICIDE,BLUNT FORCE TRAUMA,4/30/2012 10:12:00 AM,800 B/O EMERSON ST NW,38.94977195585170,-77.02459642186030,WASHINGTON,DC,4,4D,4D04,FOURTH,407,18,NONE,NONE,NONE,NONE
100009419,,4/29/2012 12:00:00 AM,MID,HOMICIDE,GUN,4/30/2012 10:12:01 AM,600 B/O EDGEWOOD ST NE,38.92453236258620,-76.99722420937230,WASHINGTON,DC,5,5C,5C08,FIFTH,502,21,NONE,NONE,NONE,NONE
100009420,,4/28/2012 12:00:00 AM,DAY,HOMICIDE,GUN,4/30/2012 10:12:01 AM,700 B/O KENILWORTH TER NE,38.89999518450620,-76.94841169804430,WASHINGTON,DC,7,7D,7D07,SIXTH,601,30,NONE,NONE,NONE,NONE
1006975,11075777,5/30/2011 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1800 B/O IRVING ST NE,38.92904985841040,-76.978333160426,WASHINGTON,DC,5,5A,5A10,FIFTH,504,22,NONE,NONE,NONE,NONE
1013751,11084050,6/14/2011 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,1800 B/O IRVING ST NE,38.92904985841040,-76.978333160426,WASHINGTON,DC,5,5A,5A10,FIFTH,504,22,NONE,NONE,NONE,NONE
1031716,11105387,7/22/2011 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,1800 B/O IRVING ST NE,38.92904985841040,-76.978333160426,WASHINGTON,DC,5,5A,5A10,FIFTH,504,22,NONE,NONE,NONE,NONE
1072626,11153663,10/19/2011 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:11:55 AM,1500 B/O K ST NW,38.90252406592590,-77.03555996994170,WASHINGTON,DC,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,DOWNTOWN BID
1073694,11155076,10/22/2011 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,1800 B/O IRVING ST NE,38.92904985841040,-76.978333160426,WASHINGTON,DC,5,5A,5A10,FIFTH,504,22,NONE,NONE,NONE,NONE
1083301,11166745,11/13/2011 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,1800 B/O IRVING ST NE,38.92904985841040,-76.978333160426,WASHINGTON,DC,5,5A,5A10,FIFTH,504,22,NONE,NONE,NONE,NONE
1093713,11174521,11/28/2011 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,900 B/O L ST NW,38.90416477503380,-77.02499962553810,WASHINGTON,DC,2,2F,2F06,THIRD,307,8,NONE,NONE,NONE,DOWNTOWN BID
1119484,12015527,2/1/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:11:55 AM,2000 B/O 38TH ST SE,38.86473230166460,-76.95225192599610,WASHINGTON,DC,7,7B,7B06,SIXTH,606,35,NONE,NONE,NONE,NONE
1121203,12017666,2/5/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,900 B/O V ST NW,38.91811046318410,-77.02531405265770,WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
1134072,12032566,3/8/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1900 B/O MASSACHUSETTS AVE SE,38.88529471176250,-76.97481724244510,WASHINGTON,DC,7,6B,6B10,FIRST,108,26,NONE,NONE,NONE,NONE
1134411,12032758,3/9/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:11:55 AM,2100 B/O MARTIN LUTHER KING JR AVE SE,38.86515815988140,-76.98964517500430,WASHINGTON,DC,8,8A,8A03,SEVENTH,701,28,NONE,NONE,NONE,NONE
